 TRANSITION QUAERUPOLAIRES EANS L'ETAT X EE H2
   PROBABILITES E'EMISSION
  VU  VL  JU        S              Q              O
   3   3   2   0.229227E-10   0.000000E+00   0.000000E+00
   3   3   3   0.368067E-09   0.000000E+00   0.000000E+00
   3   3   4   0.210578E-08   0.000000E+00   0.000000E+00
   3   3   5   0.740965E-08   0.000000E+00   0.000000E+00
   3   3   6   0.195576E-07   0.000000E+00   0.000000E+00
   3   3   7   0.426023E-07   0.000000E+00   0.000000E+00
   3   3   8   0.807981E-07   0.000000E+00   0.000000E+00
   3   3   9   0.137923E-06   0.000000E+00   0.000000E+00
   3   3  10   0.216638E-06   0.000000E+00   0.000000E+00
   3   3  11   0.317997E-06   0.000000E+00   0.000000E+00
   3   3  12   0.441174E-06   0.000000E+00   0.000000E+00
   3   3  13   0.583416E-06   0.000000E+00   0.000000E+00
   3   3  14   0.740208E-06   0.000000E+00   0.000000E+00
   3   3  15   0.905600E-06   0.000000E+00   0.000000E+00
   3   3  16   0.107300E-05   0.000000E+00   0.000000E+00
   3   3  17   0.123400E-05   0.000000E+00   0.000000E+00
   3   3  18   0.138100E-05   0.000000E+00   0.000000E+00
   3   3  19   0.150700E-05   0.000000E+00   0.000000E+00
   3   3  20   0.160600E-05   0.000000E+00   0.000000E+00
   3   3  21   0.167100E-05   0.000000E+00   0.000000E+00
   3   3  22   0.169700E-05   0.000000E+00   0.000000E+00
   3   3  23   0.168200E-05   0.000000E+00   0.000000E+00
   3   3  24   0.162500E-05   0.000000E+00   0.000000E+00
   3   3  25   0.152300E-05   0.000000E+00   0.000000E+00
   3   3  26   0.138100E-05   0.000000E+00   0.000000E+00
   3   3  27   0.120100E-05   0.000000E+00   0.000000E+00
   4   0   0   0.000000E+00   0.000000E+00   0.265121E-08
   4   0   1   0.000000E+00   0.341651E-08   0.439255E-09
   4   0   2   0.371579E-08   0.246995E-08   0.141886E-10
   4   0   3   0.711584E-08   0.234596E-08   0.899045E-10
   4   0   4   0.109785E-07   0.233702E-08   0.405366E-09
   4   0   5   0.152747E-07   0.236993E-08   0.821414E-09
   4   0   6   0.198350E-07   0.242573E-08   0.124901E-08
   4   0   7   0.244279E-07   0.249701E-08   0.163265E-08
   4   0   8   0.287993E-07   0.257984E-08   0.194210E-08
   4   0   9   0.327022E-07   0.267132E-08   0.216585E-08
   4   0  10   0.359218E-07   0.276871E-08   0.230560E-08
   4   0  11   0.382911E-07   0.286862E-08   0.237168E-08
   4   0  12   0.396994E-07   0.296656E-08   0.237948E-08
   4   0  13   0.400919E-07   0.305647E-08   0.234663E-08
   4   0  14   0.394655E-07   0.313078E-08   0.229056E-08
   4   0  15   0.378600E-07   0.318100E-08   0.222600E-08
