#4711      # Number of transitions
#K         # Unit of energy for transitions
#   n     nu     nl                E(K)          Aij(s-1)             quant:     vu      Ju      vl      Jl  info:      Description  Lambda (micrometres)
#---data------------------------------------------------------------------------------------------------------------------------------------------
   62     20     14       3144.53719795     4.9670000E-08             quant:      1;      7;      0;      9; info:   4.5755 micrometres;     1- 0 O( 9)
   63     20      8       5755.18687151     2.5390000E-07             quant:      1;      7;      0;      7; info:   2.5000 micrometres;     1- 0 Q( 7)
   64     20      6       7837.50121748     3.9540000E-07             quant:      1;      7;      0;      5; info:   1.8358 micrometres;     1- 0 S( 5)
   65     20     16       1976.30948988     5.4360000E-08             quant:      1;      7;      1;      5; info:   7.2801 micrometres;     1- 1 S( 5)
   66     21     17       2843.97563348     3.2560000E-08             quant:      1;      8;      0;     10; info:   5.0590 micrometres;     1- 0 O(10)
   67     21      9       5691.28236059     2.4860000E-07             quant:      1;      8;      0;      8; info:   2.5280 micrometres;     1- 0 Q( 8)
   68     21      7       8046.62629280     3.5370000E-07             quant:      1;      8;      0;      6; info:   1.7880 micrometres;     1- 0 S( 6)
   69     21     18       2234.69902646     1.0480000E-07             quant:      1;      8;      1;      6; info:   6.4383 micrometres;     1- 1 S( 6)
   70     27     19       2555.81080366     2.0650000E-08             quant:      1;      9;      0;     11; info:   5.6294 micrometres;     1- 0 O(11)
   71     27     14       5620.55031384     2.4350000E-07             quant:      1;      9;      0;      9; info:   2.5599 micrometres;     1- 0 Q( 9)
   72     27      8       8231.19998739     2.9820000E-07             quant:      1;      9;      0;      7; info:   1.7480 micrometres;     1- 0 S( 7)
   73     27     20       2476.01311732     1.8210000E-07             quant:      1;      9;      1;      7; info:   5.8109 micrometres;     1- 1 S( 7)
   74     31     24       2280.65726765     1.2620000E-08             quant:      1;     10;      0;     12; info:   6.3086 micrometres;     1- 0 O(12)
   75     31     17       5543.34451643     2.3850000E-07             quant:      1;     10;      0;     10; info:   2.5955 micrometres;     1- 0 Q(10)
   76     31      9       8390.65124354     2.3410000E-07             quant:      1;     10;      0;      8; info:   1.7147 micrometres;     1- 0 S( 8)
   77     31     21       2699.36888295     2.9170000E-07             quant:      1;     10;      1;      8; info:   5.3300 micrometres;     1- 1 S( 8)
   78     34     29       2018.86490147     7.3960000E-09             quant:      1;     11;      0;     13; info:   7.1267 micrometres;     1- 0 O(13)
   79     34     19       5460.02804945     2.3370000E-07             quant:      1;     11;      0;     11; info:   2.6351 micrometres;     1- 0 Q(11)
   80     34     14       8524.76755819     1.6780000E-07             quant:      1;     11;      0;      9; info:   1.6878 micrometres;     1- 0 S( 9)
   81     34     27       2904.21724436     4.3740000E-07             quant:      1;     11;      1;      9; info:   4.9541 micrometres;     1- 1 S( 9)
   82     39     33       1770.55469473     4.1290000E-09             quant:      1;     12;      0;     14; info:   8.1261 micrometres;     1- 0 O(14)
   83     39     24       5370.96532057     2.2930000E-07             quant:      1;     12;      0;     12; info:   2.6788 micrometres;     1- 0 Q(12)
   84     39     17       8633.65256934     1.0540000E-07             quant:      1;     12;      0;     10; info:   1.6665 micrometres;     1- 0 S(10)
   85     39     31       3090.30805292     6.2100000E-07             quant:      1;     12;      1;     10; info:   4.6558 micrometres;     1- 1 S(10)
   86     45     41       1535.65487405     2.1770000E-09             quant:      1;     13;      0;     15; info:   9.3691 micrometres;     1- 0 O(15)
   87     45     29       5276.51429459     2.2530000E-07             quant:      1;     13;      0;     13; info:   2.7268 micrometres;     1- 0 Q(13)
   88     45     19       8717.67744257     5.3200000E-08             quant:      1;     13;      0;     11; info:   1.6504 micrometres;     1- 0 S(11)
   89     45     34       3257.64939312     8.4180000E-07             quant:      1;     13;      1;     11; info:   4.4166 micrometres;     1- 1 S(11)
   90     50     47       1313.93545095     1.0700000E-09             quant:      1;     14;      0;     16; info:  10.9501 micrometres;     1- 0 O(16)
   91     50     33       5177.01909816     2.2190000E-07             quant:      1;     14;      0;     14; info:   2.7792 micrometres;     1- 0 Q(14)
   92     50     24       8777.42972400     1.6680000E-08             quant:      1;     14;      0;     12; info:   1.6392 micrometres;     1- 0 S(12)
   93     50     39       3406.46440343     1.0970000E-06             quant:      1;     14;      1;     12; info:   4.2237 micrometres;     1- 1 S(12)
   94     59     53       1105.03995982     4.8190000E-10             quant:      1;     15;      0;     17; info:  13.0201 micrometres;     1- 0 O(17)
   95     59     41       5072.80312516     2.1910000E-07             quant:      1;     15;      0;     15; info:   2.8363 micrometres;     1- 0 Q(15)
   96     59     29       8813.66254570     4.7350000E-10             quant:      1;     15;      0;     13; info:   1.6324 micrometres;     1- 0 S(13)
   97     59     45       3537.14825111     1.3810000E-06             quant:      1;     15;      1;     13; info:   4.0676 micrometres;     1- 1 S(13)
   98     67     63        908.51359609     1.9330000E-10             quant:      1;     16;      0;     18; info:  15.8366 micrometres;     1- 0 O(18)
   99     67     47       4964.16267011     2.1710000E-07             quant:      1;     16;      0;     16; info:   2.8983 micrometres;     1- 0 Q(16)
  100     67     33       8827.24631732     8.0870000E-09             quant:      1;     16;      0;     14; info:   1.6299 micrometres;     1- 0 S(14)
  101     67     50       3650.22721916     1.6860000E-06             quant:      1;     16;      1;     14; info:   3.9416 micrometres;     1- 1 S(14)
  102     73     69        723.82745245     6.6170000E-11             quant:      1;     17;      0;     19; info:  19.8773 micrometres;     1- 0 O(19)
  103     73     53       4851.36103781     2.1600000E-07             quant:      1;     17;      0;     17; info:   2.9657 micrometres;     1- 0 Q(17)
  104     73     41       8819.12420315     4.1780000E-08             quant:      1;     17;      0;     15; info:   1.6314 micrometres;     1- 0 S(15)
  105     73     59       3746.32107799     2.0040000E-06             quant:      1;     17;      1;     15; info:   3.8405 micrometres;     1- 1 S(15)
  106     84     81        550.39878252     1.7910000E-11             quant:      1;     18;      0;     20; info:  26.1406 micrometres;     1- 0 O(20)
  107     84     63       4734.62297384     2.1560000E-07             quant:      1;     18;      0;     18; info:   3.0388 micrometres;     1- 0 Q(18)
  108     84     47       8790.27204929     1.0250000E-07             quant:      1;     18;      0;     16; info:   1.6368 micrometres;     1- 0 S(16)
  109     84     67       3826.10937919     2.3250000E-06             quant:      1;     18;      1;     16; info:   3.7604 micrometres;     1- 1 S(16)
  110     94     90        387.60742600     3.2960000E-12             quant:      1;     19;      0;     21; info:  37.1194 micrometres;     1- 0 O(21)
  111     94     69       4614.12923318     2.1620000E-07             quant:      1;     19;      0;     19; info:   3.1182 micrometres;     1- 0 Q(19)
  112     94     53       8741.66281854     1.9020000E-07             quant:      1;     19;      0;     17; info:   1.6459 micrometres;     1- 0 S(17)
  113     94     73       3890.30178073     2.6380000E-06             quant:      1;     19;      1;     17; info:   3.6984 micrometres;     1- 1 S(17)
  114    106    103        234.80865834     2.8540000E-13             quant:      1;     20;      0;     22; info:  61.2744 micrometres;     1- 0 O(22)
  115    106     81       4490.01095458     2.1770000E-07             quant:      1;     20;      0;     20; info:   3.2044 micrometres;     1- 0 Q(20)
  116    106     63       8674.23514590     3.0340000E-07             quant:      1;     20;      0;     18; info:   1.6587 micrometres;     1- 0 S(18)
  117    106     84       3939.61217206     2.9330000E-06             quant:      1;     20;      1;     18; info:   3.6521 micrometres;     1- 1 S(18)
  118    114    113         91.34269673     2.6970000E-15             quant:      1;     21;      0;     23; info: 157.5142 micrometres;     1- 0 O(23)
