# %ECSV 1.0
# ---
# datatype:
# - {name: dE, unit: K, datatype: float64}
# - {name: A, unit: 1 / s, datatype: float64}
# - {name: Ju, unit: '', datatype: int64}
# - {name: Jl, unit: '', datatype: int64}
# - {name: freq, unit: GHz, datatype: float64}
# - {name: vu, unit: '', datatype: int64}
# - {name: vl, unit: '', datatype: int64}
# - {name: lambda, unit: micron, datatype: float64}
# - {name: Tu, unit: K, datatype: float64}
# - {name: gu, datatype: float64}
# - {name: Line, datatype: string}
# - {name: Transition, datatype: string}
# - {name: species, datatype: string}
# meta: !!omap
# - comments: ['40        # Number of transitions', 'K         # Unit energy transitions', 'n     nu     nl                E(K)          Aij(s-1)             quant:
#       Ju    Jl   info:    Description', '---data-----------------------------------------------------------------------------------------------------',
#     '---end------------------------------------------------------', Utilisation des donnees de LAMDA - ER 2011, Frequencies from CDMS
#       - 18-01-06 - file=c030502.cat]
# - keywords: {}
# schema: astropy-2.0
dE A Ju Jl freq vu vl lambda Tu gu Line Transition species
3111.405085349238 17.23 20 19 64831.211126466005 1 0 4.62419956053568 4115.12659459495 78.0 C18Ov1-0J20-19 "v1-0 J20-19" 13CO
3115.664900521751 17.33 21 20 64919.97133904953 1 0 4.6178772389518 4224.90622714716 82.0 C18Ov1-0J21-20 "v1-0 J21-20" 13CO
3119.873597428765 17.42 22 21 65007.66641900902 1 0 4.61164774117068 4339.88310780745 86.0 C18Ov1-0J22-21 "v1-0 J22-21" 13CO
3124.0309875906496 17.52 23 22 65094.29243906324 1 0 4.6055106640977 4460.05273176877 90.0 C18Ov1-0J23-22 "v1-0 J23-22" 13CO
3128.1368767726713 17.61 24 23 65179.84535201449 1 0 4.5994656228612 4585.41102010172 94.0 C18Ov1-0J24-23 "v1-0 J24-23" 13CO
3132.1910736176496 17.7 25 24 65264.32117062173 1 0 4.59351223796915 4715.95317736655 98.0 C18Ov1-0J25-24 "v1-0 J25-24" 13CO
3136.1933896459536 17.8 26 25 65347.71596760507 1 0 4.58765013529496 4851.67441100107 102.0 C18Ov1-0J26-25 "v1-0 J26-25" 13CO
3140.1436291840737 17.88 27 26 65430.025665786714 1 0 4.58187896075916 4992.56977737161 106.0 C18Ov1-0J27-26 "v1-0 J27-26" 13CO
3144.0416051911566 17.97 28 27 65511.246367864725 1 0 4.57619835709701 5138.63390984443 110.0 C18Ov1-0J28-27 "v1-0 J28-27" 13CO
3147.887124871243 18.05 29 28 65591.3740566201 1 0 4.57060798484282 5289.86157990826 114.0 C18Ov1-0J29-28 "v1-0 J29-28" 13CO
3151.6799954283774 18.14 30 29 65670.40471483396 1 0 4.56510751383083 5446.24727129667 118.0 C18Ov1-0J30-29 "v1-0 J30-29" 13CO
3155.420029821704 18.23 31 30 65748.3344452042 1 0 4.55969661482227 5607.78489798802 122.0 C18Ov1-0J31-30 "v1-0 J31-30" 13CO
3159.107032377714 18.31 32 31 65825.1591705535 1 0 4.55437498029037 5774.46879696075 126.0 C18Ov1-0J32-31 "v1-0 J32-31" 13CO
3162.740816055553 18.38 33 32 65900.87499357999 1 0 4.54914229938837 5946.29273831563 130.0 C18Ov1-0J33-32 "v1-0 J33-32" 13CO
3166.3211909368156 18.47 34 33 65975.47795702309 1 0 4.54399827456024 6123.2503453983 134.0 C18Ov1-0J34-33 "v1-0 J34-33" 13CO
3169.8479642255425 18.55 35 34 66048.964043665 1 0 4.5389426214438 6305.33509479928 138.0 C18Ov1-0J35-34 "v1-0 J35-34" 13CO
3173.32094600333 18.63 36 35 66121.32929624204 1 0 4.53397506055642 6492.54017823146 142.0 C18Ov1-0J36-35 "v1-0 J36-35" 13CO
3176.739947790546 18.71 37 36 66192.56978747615 1 0 4.52909531934688 6684.8589327241 146.0 C18Ov1-0J37-36 "v1-0 J37-36" 13CO
3180.1047767912337 18.79 38 37 66262.68150014752 1 0 4.52430314036314 6882.28397160223 150.0 C18Ov1-0J38-37 "v1-0 J38-37" 13CO
3183.4152459645397 18.86 39 38 66331.66053695393 1 0 4.5195982668485 7084.80820170114 154.0 C18Ov1-0J39-38 "v1-0 J39-38" 13CO
3186.671162514506 18.93 40 39 66399.50288067678 1 0 4.51498045909684 7292.4239485907 158.0 C18Ov1-0J40-39 "v1-0 J40-39" 13CO
3189.8723394002764 19.01 41 40 66466.2046340137 1 0 4.51044947805825 7505.12368747346 162.0 C18Ov1-0J41-40 "v1-0 J41-40" 13CO
3193.018585264671 19.08 42 41 66531.76180972545 1 0 4.50600509960007 7722.89960148049 166.0 C18Ov1-0J42-41 "v1-0 J42-41" 13CO
3196.109710189283 19.16 43 42 66596.17045055119 1 0 4.50164710630923 7945.74358742645 170.0 C18Ov1-0J43-42 "v1-0 J43-42" 13CO
