|        ID|    Wave|  vu|  Ju| Fs140|e_Fs140|Fngc2023|e_Fngc2023| Fic63|e_Fic63|Fhorse|e_Fhorse|Forionbar|e_Forionbar|Transition|    Line|
|      char|  double|long|long|double| double|  double|    double|double| double|double|  double|   double|     double|      char|    char|
|          |        |    |    |      |       |        |          |      |       |      |        |         |           |          |        |
|      null|    null|null|null|  null|   null|    null|      null|  null|   null|  null|    null|     null|       null|      null|    null|
   6-4 O(9)  2.22496    6    7   null    null    0.036      0.004   null    null   null     null      null        null   6-4 O(9)   H264O9 
   6-4 Q(7) 1.682897    6    7  0.111   0.009    0.159      0.013   0.15   0.016   null     null     0.204       0.012   6-4 Q(7)   H264Q7 
   6-4 Q(8)  1.70804    6    8   null    null    0.037      0.003  0.037   0.005   null     null     0.055       0.004   6-4 Q(8)   H264Q8 
   6-4 Q(9) 1.736958    6    9   0.03   0.004    0.065      0.006   0.06   0.007   null     null      null        null   6-4 Q(9)   H264Q9 
   7-5 Q(1) 1.728799    7    1  0.476   0.036    0.431      0.036  0.447   0.045  0.401    0.032     0.322       0.019   7-5 Q(1)   H275Q1 
   7-5 S(0) 1.658492    7    2  0.206   0.015    0.151      0.012  0.154   0.015   null     null     0.078       0.005   7-5 S(0)   H275S0 
   7-5 Q(2) 1.735761    7    2  0.205   0.016    0.178      0.015  0.184   0.019  0.262    0.019     0.099       0.006   7-5 Q(2)   H275Q2 
   7-5 O(4) 1.943455    7    2  0.258   0.022    0.226      0.022  0.221   0.025   null     null      null        null   7-5 O(4)   H275O4 
   7-5 S(1) 1.620548    7    3  0.327   0.023    0.328      0.025  0.305   0.029   null     null      0.28       0.015   7-5 S(1)   H275S1 
   7-5 O(5) 2.022053    7    3  0.214   0.019     null       null  0.122   0.016   null     null      null        null   7-5 O(5)   H275O5 
   7-5 Q(3)  1.74628    7    3  0.292   0.023    0.273      0.023  0.263   0.028   null     null     0.211       0.013   7-5 Q(3)   H275Q3 
